County,State,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed
Autauga,Alabama,6,55036,10523,19.1,1754
Baldwin,Alabama,51,203360,53519,26.3,1049
Barbour,Alabama,5,26201,6150,23.5,1230
Bibb,Alabama,0,22580,4773,21.1,null
Blount,Alabama,6,57667,13600,23.6,2267
Bullock,Alabama,0,10478,2371,22.6,null
Butler,Alabama,7,20126,5151,25.6,736
Calhoun,Alabama,24,115527,27115,23.5,1130
Chambers,Alabama,0,33895,8501,25.1,null
Cherokee,Alabama,0,25855,7513,29.1,null
Chilton,Alabama,6,43805,9429,21.5,1572
Choctaw,Alabama,0,13188,3759,28.5,null
Clarke,Alabama,0,24625,6134,24.9,null
Clay,Alabama,4,13407,3480,26,870
Cleburne,Alabama,0,14939,3691,24.7,null
Coffee,Alabama,7,51073,11027,21.6,1575
Colbert,Alabama,22,54435,14062,25.8,639
Conecuh,Alabama,0,12649,3542,28,null
Coosa,Alabama,0,10955,3145,28.7,null
Covington,Alabama,13,37519,10290,27.4,792
Crenshaw,Alabama,0,13866,3371,24.3,null
Cullman,Alabama,12,81703,19667,24.1,1639
Dale,Alabama,6,49393,10498,21.3,1750
Dallas,Alabama,18,40755,9436,23.2,524
DeKalb,Alabama,12,71194,15782,22.2,1315
Elmore,Alabama,5,80989,15929,19.7,3186
Escambia,Alabama,14,37621,8677,23.1,620
Etowah,Alabama,56,103132,25122,24.4,449
Fayette,Alabama,12,16657,4604,27.6,384
Franklin,Alabama,7,31507,7054,22.4,1008
Geneva,Alabama,6,26572,6716,25.3,1119
Greene,Alabama,0,8533,2352,27.6,null
Hale,Alabama,0,14995,3945,26.3,null
Henry,Alabama,0,17110,4834,28.3,null
Houston,Alabama,66,104108,23474,22.5,356
Jackson,Alabama,10,52326,13441,25.7,1344
Jefferson,Alabama,471,659460,138161,21,293
Lamar,Alabama,0,14021,3811,27.2,null
Lauderdale,Alabama,48,92590,23452,25.3,489
Lawrence,Alabama,6,33288,7710,23.2,1285
Lee,Alabama,28,156597,24513,15.7,875
Limestone,Alabama,10,91695,18399,20.1,1840
Lowndes,Alabama,0,10362,2481,23.9,null
Macon,Alabama,0,19358,4854,25.1,null
Madison,Alabama,100,353213,70040,19.8,700
Marengo,Alabama,5,19743,5124,26,1025
Marion,Alabama,4,30058,8196,27.3,2049
Marshall,Alabama,20,94738,21466,22.7,1073
Mobile,Alabama,157,414328,88103,21.3,561
Monroe,Alabama,8,21745,5536,25.5,692
Montgomery,Alabama,88,227120,44214,19.5,502
Morgan,Alabama,34,119157,26739,22.4,786
Perry,Alabama,0,9680,2278,23.5,null
Pickens,Alabama,4,20170,4974,24.7,1244
Pike,Alabama,9,33287,6441,19.3,716
Randolph,Alabama,0,22530,6129,27.2,null
Russell,Alabama,8,58480,10680,18.3,1335
St. Clair,Alabama,6,86937,18943,21.8,3157
Shelby,Alabama,32,208721,41610,19.9,1300
Sumter,Alabama,0,13084,3005,23,null
Talladega,Alabama,14,80888,18842,23.3,1346
Tallapoosa,Alabama,6,40756,11006,27,1834
Tuscaloosa,Alabama,84,204424,36426,17.8,434
Walker,Alabama,12,64927,16386,25.2,1366
Washington,Alabama,0,16746,4103,24.5,null
Wilcox,Alabama,0,10919,2751,25.2,null
Winston,Alabama,4,23968,6575,27.4,1644
Aleutians East,Alaska,0,3338,510,15.3,null
Aleutians West,Alaska,0,5784,707,12.2,null
Anchorage,Alaska,73,298225,43608,14.6,597
Bethel,Alaska,0,17957,2082,11.6,null
Bristol Bay,Alaska,0,917,164,17.9,null
Denali,Alaska,0,2303,481,20.9,null
Dillingham,Alaska,0,4974,701,14.1,null
Fairbanks North Star,Alaska,13,100031,13950,13.9,1073
Haines,Alaska,0,2537,727,28.7,null
Hoonah-Angoon,Alaska,0,2146,645,30.1,null
Juneau,Alaska,9,32434,5907,18.2,656
Kenai Peninsula,Alaska,6,57961,13154,22.7,2192
Ketchikan Gateway,Alaska,4,13745,2951,21.5,738
Kodiak Island Borough,Alaska,0,13773,1915,13.9,null
Kusilvak,Alaska,0,8129,674,8.3,null
Lake and Peninsula,Alaska,0,1301,189,14.5,null
Matanuska-Susitna,Alaska,14,101135,16358,16.2,1168
Nome,Alaska,0,9869,1151,11.7,null
North Slope Borough,Alaska,0,9757,1157,11.9,null
Northwest Arctic Borough,Alaska,0,7715,851,11,null
Petersburg Borough,Alaska,0,3275,778,23.8,null
Prince of Wales-Hyder,Alaska,0,6473,1381,21.3,null
Sitka Borough,Alaska,0,8810,1829,20.8,null
Skagway Municipality,Alaska,0,1038,175,16.9,null
Southeast Fairbanks ,Alaska,0,6889,1256,18.2,null
Valdez-Cordova ,Alaska,0,9439,1790,19,null
Wrangell City and Borough,Alaska,0,2475,756,30.5,null
Yakutat City and Borough,Alaska,0,682,142,20.8,null
Yukon-Koyukuk,Alaska,0,5453,1058,19.4,null
Apache,Arizona,0,71602,14107,19.7,null
Cochise,Arizona,12,126516,35231,27.8,2936
Coconino,Arizona,41,138639,23195,16.7,566
Gila,Arizona,8,53145,18752,35.3,2344
Graham,Arizona,0,37700,6933,18.4,null
Greenlee,Arizona,0,9368,1631,17.4,null
La Paz,Arizona,3,20477,9183,44.8,3061
Maricopa,Arizona,1004,4155501,808534,19.5,805
Mohave,Arizona,80,204691,73559,35.9,919
Navajo,Arizona,12,107902,24267,22.5,2022
Pima,Arizona,296,1007257,245814,24.4,830
Pinal,Arizona,22,405537,100086,24.7,4549
Santa Cruz,Arizona,0,46358,10530,22.7,null
Yavapai,Arizona,39,220972,85127,38.5,2183
Yuma,Arizona,42,204281,45739,22.4,1089
Arkansas,Arkansas,0,18352,4693,25.6,null
Ashley,Arkansas,6,20771,5094,24.5,849
Baxter,Arkansas,17,41093,15979,38.9,940
Benton,Arkansas,30,251823,44616,17.7,1487
Boone,Arkansas,24,37212,9809,26.4,409
Bradley,Arkansas,0,10994,2825,25.7,null
Calhoun,Arkansas,0,5194,1436,27.6,null
Carroll,Arkansas,0,27782,7997,28.8,null
Chicot,Arkansas,0,11008,2835,25.8,null
Clark,Arkansas,0,22495,5000,22.2,null
Clay,Arkansas,0,15190,4125,27.2,null
Cleburne,Arkansas,0,25361,8437,33.3,null
Cleveland,Arkansas,0,8332,2195,26.3,null
