,Country,Date,SNo,Confirmed,Deaths,Recovered
12699,Monaco,06/20/2020,46012,99.0,4.0,94.0
9280,Italy,06/20/2020,973900,238275.0,34610.0,182453.0
2210,Bhutan,06/20/2020,45927,68.0,0.0,30.0
13347,Nepal,06/20/2020,46018,8605.0,22.0,1578.0
1778,Belarus,06/20/2020,45923,57936.0,343.0,36749.0
9138,Israel,06/20/2020,45984,20633.0,305.0,15586.0
19260,Turkey,06/20/2020,46066,186493.0,4927.0,158828.0
13994,North Macedonia,06/20/2020,46024,5005.0,233.0,1904.0
13576,New Zealand,06/20/2020,46020,1511.0,22.0,1482.0
2312,Bolivia,06/20/2020,45928,23512.0,740.0,5086.0
16367,Senegal,06/20/2020,46042,5783.0,82.0,3859.0
4585,Cuba,06/20/2020,45946,2309.0,85.0,2071.0
10350,Laos,06/20/2020,45993,19.0,0.0,19.0
17117,Somalia,06/20/2020,46049,2755.0,88.0,751.0
17841,Sudan,06/20/2020,46054,8580.0,521.0,3325.0
17453,South Sudan,06/20/2020,46052,1882.0,34.0,122.0
5304,Dominican Republic,06/20/2020,45953,25778.0,655.0,14957.0
18290,Syria,06/20/2020,46057,198.0,7.0,83.0
20513,Western Sahara,06/20/2020,46074,9.0,1.0,8.0
18590,Tanzania,06/20/2020,46060,509.0,21.0,183.0
3193,Cabo Verde,06/20/2020,45936,863.0,8.0,377.0
15756,Saint Kitts and Nevis,06/20/2020,46036,15.0,0.0,15.0
10261,Kyrgyzstan,06/20/2020,45992,2981.0,35.0,1981.0
18741,Thailand,06/20/2020,46061,3147.0,58.0,3018.0
7325,Grenada,06/20/2020,45970,23.0,0.0,23.0
12586,Moldova,06/20/2020,46011,13953.0,464.0,7745.0
2724,Brunei,06/20/2020,45931,141.0,3.0,138.0
10461,Latvia,06/20/2020,45994,1111.0,30.0,903.0
1251,Azerbaijan,06/20/2020,45918,12238.0,148.0,6516.0
7932,Holy See,06/20/2020,45976,12.0,0.0,12.0
754,Argentina,06/20/2020,45915,41204.0,992.0,12206.0
16474,Serbia,06/20/2020,46043,12803.0,260.0,11889.0
119,Afghanistan,06/20/2020,45909,28424.0,569.0,8292.0
8904,Iraq,06/20/2020,45982,29222.0,1013.0,13211.0
4367,Costa Rica,06/20/2020,45944,2127.0,12.0,1014.0
10718,Liberia,06/20/2020,45997,601.0,33.0,254.0
3100,Burundi,06/20/2020,45935,104.0,1.0,75.0
7105,Ghana,06/20/2020,45968,13717.0,85.0,10074.0
6537,France,06/20/2020,509786,196724.0,29636.0,74436.0
17020,Slovenia,06/20/2020,46048,1519.0,109.0,1359.0
5417,Ecuador,06/20/2020,45954,49731.0,4156.0,24446.0
10621,Lesotho,06/20/2020,45996,4.0,0.0,2.0
20680,Zambia,06/20/2020,46076,1430.0,11.0,1194.0
7228,Greece,06/20/2020,45969,3256.0,190.0,1374.0
15562,Russia,06/20/2020,3849498,576162.0,7992.0,334024.0
11852,Malaysia,06/20/2020,46005,8556.0,121.0,8146.0
7635,Guinea-Bissau,06/20/2020,45973,1541.0,17.0,153.0
3593,Canada,06/20/2020,649214,102762.0,8466.0,64826.0
2006,Belize,06/20/2020,45925,22.0,2.0,17.0
4484,Croatia,06/20/2020,45945,2299.0,107.0,2142.0
10582,Lebanon,06/20/2020,45995,1536.0,32.0,1006.0
9017,Ireland,06/20/2020,45983,25374.0,1715.0,22698.0
15661,Rwanda,06/20/2020,46035,702.0,2.0,357.0
6043,Eswatini,06/20/2020,45960,627.0,5.0,285.0
19645,Uganda,06/20/2020,46067,763.0,0.0,492.0
11957,Maldives,06/20/2020,46006,2187.0,8.0,1788.0
12045,Mali,06/20/2020,46007,1933.0,109.0,1255.0
14390,Pakistan,06/20/2020,324073,176617.0,3501.0,67892.0
14498,Panama,06/20/2020,46027,25222.0,493.0,14359.0
2620,Brazil,06/20/2020,1251558,1032913.0,49976.0,589074.0
15954,Saint Vincent and the Grenadines,06/20/2020,46038,29.0,0.0,26.0
13462,Netherlands,06/20/2020,230998,49710.0,6108.0,186.0
9636,Japan,06/20/2020,2226402,17725.0,955.0,15948.0
14696,Paraguay,06/20/2020,46029,1362.0,13.0,791.0
19158,Tunisia,06/20/2020,46065,1156.0,50.0,1017.0
9954,Kenya,06/20/2020,45989,4478.0,121.0,1586.0
17376,South Korea,06/20/2020,46051,12421.0,280.0,10868.0
18493,Tajikistan,06/20/2020,46059,5399.0,52.0,3894.0
14110,Norway,06/20/2020,46025,8742.0,244.0,8138.0
18441,Taiwan,06/20/2020,46058,446.0,7.0,434.0
12265,Mauritania,06/20/2020,46009,2813.0,108.0,696.0
3339,Cambodia,06/20/2020,45937,129.0,0.0,126.0
5006,Diamond Princess,06/20/2020,45950,712.0,13.0,651.0
16069,San Marino,06/20/2020,46039,696.0,42.0,610.0
18082,Sweden,06/20/2020,974725,56043.0,5053.0,0.0
16145,Sao Tome and Principe,06/20/2020,46040,698.0,12.0,203.0
7547,Guinea,06/20/2020,45972,4960.0,27.0,3630.0
