,Admin2,Province_State,Lat,Long_,6/17/2020,Hotel Name
0,Aransas,Texas,28.10556197,-96.9995047,7,No Hotel
1,Archer,Texas,33.61569967,-98.68754589,3,No Hotel
2,Armstrong,Texas,34.96507426,-101.35748740000001,3,No Hotel
3,Bandera,Texas,29.74619598,-99.24598147,7,No Hotel
4,Baylor,Texas,33.61640794,-99.21352901,1,No Hotel
5,Borden,Texas,32.74363984,-101.43165090000001,0,No Hotel
6,Bosque,Texas,31.89978581,-97.63613524,7,No Hotel
7,Briscoe,Texas,34.53026962,-101.2084947,1,No Hotel
8,Brooks,Texas,27.03103197,-98.21808402,3,No Hotel
9,Carson,Texas,35.40365929,-101.35426690000001,6,No Hotel
10,Childress,Texas,34.529304100000004,-100.2077916,6,No Hotel
11,Clay,Texas,33.78686685,-98.20771198,5,Best Western Henrietta Inn & Suites
12,Cochran,Texas,33.60425307,-102.82844990000001,1,No Hotel
13,Coke,Texas,31.88911733,-100.5297533,4,Wildcat RV and Paint Creek MH Parks
14,Coleman,Texas,31.76736834,-99.45240766,3,No Hotel
15,Collingsworth,Texas,34.96489496,-100.27001109999999,5,No Hotel
16,Concho,Texas,31.32635934,-99.86473038,1,No Hotel
17,Cottle,Texas,34.07783319,-100.27850620000001,4,No Hotel
18,Crockett,Texas,30.72367027,-101.4134238,5,No Hotel
19,Crosby,Texas,33.61431553,-101.30003640000001,8,No Hotel
20,Culberson,Texas,31.44506775,-104.5185739,0,No Hotel
21,Delta,Texas,33.38570922,-95.66921122,3,The Emma Grace
22,Dickens,Texas,33.61616822,-100.7788855,2,No Hotel
23,Dimmit,Texas,28.42270064,-99.75645095,1,No Hotel
24,Duval,Texas,27.68184592,-98.50864568,5,No Hotel
25,Eastland,Texas,32.32743996,-98.83243566,7,No Hotel
26,Edwards,Texas,29.98202582,-100.304252,0,No Hotel
27,Fisher,Texas,32.74281316,-100.40193020000001,2,Roby Inn
28,Foard,Texas,33.97308618,-99.7767797,0,No Hotel
29,Garza,Texas,33.17969345,-101.2984114,7,No Hotel
30,Gillespie,Texas,30.31824095,-98.94676915,9,No Hotel
31,Glasscock,Texas,31.86942909,-101.5207776,3,No Hotel
32,Goliad,Texas,28.65696592,-97.42760647,7,No Hotel
33,Hall,Texas,34.5307555,-100.68138520000001,2,No Hotel
34,Hardeman,Texas,34.28944521,-99.74632408,4,SureStay Plus Hotel by Best Western Quanah
35,Haskell,Texas,33.17823584,-99.73037358,4,AmeriStay Inn & Suites
36,Hemphill,Texas,35.83764858,-100.2703577,2,No Hotel
37,Irion,Texas,31.30375559,-100.982439,1,No Hotel
38,Jack,Texas,33.23377248,-98.17283469,4,JR'S Chophouse B&B
39,Jeff Davis,Texas,30.71490589,-104.1399973,0,No Hotel
40,Jim Hogg,Texas,27.04453923,-98.69681870000001,4,No Hotel
41,Karnes,Texas,28.90705334,-97.85960149,7,No Hotel
42,Kenedy,Texas,26.92601662,-97.66413984,0,No Hotel
43,Kent,Texas,33.18104136,-100.7780939,0,No Hotel
44,Kimble,Texas,30.48678918,-99.74856473,1,Econo Lodge Junction
45,King,Texas,33.61643847,-100.2558057,0,No Hotel
46,Kinney,Texas,29.34967888,-100.41866379999999,1,No Hotel
47,Knox,Texas,33.60519951,-99.74229059999999,1,No Hotel
48,La Salle,Texas,28.34453111,-99.09908775,5,No Hotel
49,Lipscomb,Texas,36.27783108,-100.27331509999999,9,No Hotel
50,Llano,Texas,30.70645047,-98.68475262,5,Cabin at Crooked Creek
51,Loving,Texas,31.84947612,-103.5818571,0,No Hotel
52,McCulloch,Texas,31.1925468,-99.34682807,4,No Hotel
53,McMullen,Texas,28.35251708,-98.56769164,0,No Hotel
54,Martin,Texas,32.30600051,-101.9513518,4,No Hotel
55,Menard,Texas,30.88990665,-99.82047940000001,0,No Hotel
56,Mills,Texas,31.49557106,-98.59272068,1,No Hotel
57,Mitchell,Texas,32.30623474,-100.9212058,2,No Hotel
58,Montague,Texas,33.67521893,-97.72500958,9,No Hotel
59,Motley,Texas,34.07408766,-100.77972199999999,1,No Hotel
60,Newton,Texas,30.78548982,-93.74408813,6,No Hotel
61,Nolan,Texas,32.30365282,-100.4060208,5,No Hotel
62,Oldham,Texas,35.40425596,-102.6027606,4,No Hotel
63,Rains,Texas,32.87109387,-95.79232691,6,Bent Tree Motel
64,Reagan,Texas,31.36607041,-101.52326590000001,2,No Hotel
65,Real,Texas,29.83321503,-99.82018052,1,No Hotel
66,Refugio,Texas,28.323897600000002,-97.15766311,6,No Hotel
67,Roberts,Texas,35.83809685,-100.813175,2,No Hotel
