Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
6/17/2020,2/1/2020,6/13/2020,AL,Butler County,1013,13,86
6/17/2020,2/1/2020,6/13/2020,AL,Elmore County,1051,17,265
6/17/2020,2/1/2020,6/13/2020,AL,Etowah County,1055,13,557
6/17/2020,2/1/2020,6/13/2020,AL,Houston County,1069,45,681
6/17/2020,2/1/2020,6/13/2020,AL,Jefferson County,1073,157,3475
6/17/2020,2/1/2020,6/13/2020,AL,Lee County,1081,60,473
6/17/2020,2/1/2020,6/13/2020,AL,Madison County,1089,11,1474
6/17/2020,2/1/2020,6/13/2020,AL,Mobile County,1097,146,1903
6/17/2020,2/1/2020,6/13/2020,AL,Montgomery County,1101,75,1090
6/17/2020,2/1/2020,6/13/2020,AL,Shelby County,1117,20,480
6/17/2020,2/1/2020,6/13/2020,AL,Tallapoosa County,1123,54,224
6/17/2020,2/1/2020,6/13/2020,AL,Tuscaloosa County,1125,35,790
6/17/2020,2/1/2020,6/13/2020,AZ,Apache County,4001,17,164
6/17/2020,2/1/2020,6/13/2020,AZ,Coconino County,4005,93,480
6/17/2020,2/1/2020,6/13/2020,AZ,Maricopa County,4013,518,14746
6/17/2020,2/1/2020,6/13/2020,AZ,Mohave County,4015,42,1256
6/17/2020,2/1/2020,6/13/2020,AZ,Navajo County,4017,20,375
6/17/2020,2/1/2020,6/13/2020,AZ,Pima County,4019,211,4460
6/17/2020,2/1/2020,6/13/2020,AZ,Pinal County,4021,21,993
6/17/2020,2/1/2020,6/13/2020,AZ,Yuma County,4027,37,719
6/17/2020,2/1/2020,6/13/2020,AR,Craighead County,5031,10,698
6/17/2020,2/1/2020,6/13/2020,AR,Jefferson County,5069,28,371
6/17/2020,2/1/2020,6/13/2020,AR,Pulaski County,5119,51,2297
6/17/2020,2/1/2020,6/13/2020,AR,Washington County,5143,10,809
6/17/2020,2/1/2020,6/13/2020,CA,Alameda County,6001,109,4101
6/17/2020,2/1/2020,6/13/2020,CA,Contra Costa County,6013,37,3060
6/17/2020,2/1/2020,6/13/2020,CA,Fresno County,6019,45,2857
6/17/2020,2/1/2020,6/13/2020,CA,Imperial County,6025,44,389
6/17/2020,2/1/2020,6/13/2020,CA,Kern County,6029,42,2354
6/17/2020,2/1/2020,6/13/2020,CA,Kings County,6031,12,339
