Location,Average Temp Mar-May
Alabama,60.3
Alabama,61
Alabama,63.6
Alabama,62.3
Alabama,63
Alabama,65.8
Alabama,67.8
Alabama,69.6
Arizona,61.3
Arizona,52.8
Arizona,58.3
Arizona,59.7
Arizona,71
Arizona,69.4
Arizona,63.2
Arkansas,56.7
Arkansas,57.2
Arkansas,59.4
Arkansas,59.7
Arkansas,60.8
Arkansas,61.8
Arkansas,62.4
Arkansas,63.5
Arkansas,63.8
California,50.7
California,52.6
California,43.3
California,56.9
California,55.5
California,58
California,63.3
Colorado,50.1
Colorado,43.3
Colorado,49.6
Colorado,44.4
Colorado,41.7
Connecticut,45.7
Connecticut,47.7
Connecticut,48.7
Delaware,53.2
Delaware,54.5
Florida,70.3
Florida,71.1
Florida,74
Florida,74.8
Florida,76.4
Florida,77.4
Florida,79.1
Georgia,60.1
Georgia,59.1
Georgia,60.5
Georgia,63.5
Georgia,64.9
Georgia,66.1
Georgia,68.4
Georgia,68.1
Georgia,68.9
Idaho,42.1
Idaho,44.1
Idaho,46.6
Idaho,39.4
Idaho,50.3
Idaho,45
Idaho,47.5
Idaho,38
Idaho,43.8
Idaho,41.6
Illinois,48.6
Illinois,48.3
Illinois,50.9
Illinois,50.9
Illinois,50.2
Illinois,52.6
Illinois,52.5
Illinois,55.3
Illinois,55.1
Indiana,48.7
Indiana,48.7
Indiana,48.5
Indiana,51
Indiana,51
Indiana,50.7
Indiana,54
Indiana,53.4
Indiana,53.4
Iowa,46.2
Iowa,46.4
Iowa,46
Iowa,48.7
Iowa,48.6
Iowa,48.2
Iowa,50.5
Iowa,50.5
Iowa,50.1
Kansas,51.3
Kansas,52.5
Kansas,53.4
Kansas,52.9
Kansas,53.7
Kansas,54.7
Kansas,55.2
Kansas,55.4
Kansas,56.1
Kentucky,57
Kentucky,55.7
Kentucky,54.2
Kentucky,54.7
Louisiana,66.5
Louisiana,65.9
Louisiana,66.4
Louisiana,67.8
Louisiana,68.2
Louisiana,69.8
Louisiana,70.1
Louisiana,71.2
Louisiana,72.2
Maine,37.2
Maine,42.2
Maine,43.1
Maryland,55.6
Maryland,55.8
Maryland,56.2
Maryland,55.6
Maryland,54.4
Maryland,53
Maryland,51.6
Maryland,47.4
Massachusetts,44.2
Massachusetts,47
Massachusetts,47.4
Michigan,38.1
Michigan,38
Michigan,41.8
Michigan,41.3
Michigan,44.1
Michigan,44.3
Michigan,45.1
Michigan,46.3
Michigan,46.5
Michigan,47.1
Minnesota,38.3
Minnesota,38.7
Minnesota,37.2
Minnesota,42.8
Minnesota,43.6
Minnesota,42.1
Minnesota,44.3
Minnesota,45.2
Minnesota,45.1
Mississippi,63.5
Mississippi,62.3
Mississippi,61.9
Mississippi,65.8
Mississippi,64.7
Mississippi,64.4
Mississippi,67.5
Mississippi,67.8
Mississippi,67.3
Mississippi,69.5
Missouri,52.8
Missouri,53.1
Missouri,55.1
Missouri,55.6
Missouri,55.5
Missouri,58.4
Montana,39.1
Montana,37.3
Montana,39.6
Montana,39.7
Montana,40.9
Montana,41.4
Montana,42.7
Nebraska,45.6
Nebraska,46.3
Nebraska,47.7
Nebraska,47.9
Nebraska,49.7
Nebraska,49.1
Nebraska,50.1
Nebraska,51.2
Nevada,48.4
Nevada,44.8
Nevada,50.8
Nevada,63.6
New Hampshire,39.4
New Hampshire,44.1
New Jersey,49.4
New Jersey,52.5
New Jersey,51.9
New Mexico,51.3
New Mexico,48.7
New Mexico,57.2
New Mexico,50.7
New Mexico,59
New Mexico,52.9
New Mexico,61.4
New Mexico,61.8
New York,44.5
