,fips_code,debt,per_cap_debt,state_pop,order_dur,biz_dur,gathering_ban,out_of_state_travel_restricted,daycares_closed,bars_and_restaurants_closed,oth-non_essential_closed,shelter_score,avg_sen_maj_ideology,avg_hou_maj_ideology,avg_sen_ideology,avg_hou_ideology,avg_sen_polarz,avg_hou_polarz,days_since_first_case,tot_cases,cases_per-day,tot_deaths,days_since_first-death,deaths_per_day,test_per_100k,avg_temp_mar_to_may,mortality_rate,state_outbeak_lag,order_lag,biz_restrict_lag,ord_or_adv_lag,per_cap_mort_rate,tot_death_per_cap
fips_code,1,-0.088245157,-0.073324358,-0.095744192,0.204043776,0.015208063,-0.091521642,0.039200515,0.084969015,-0.144468719,-0.230830858,-0.026652525,0.085032081,0.076502054,0.124521424,0.115407221,-0.189681825,-0.137851821,-0.13201552,-0.0621363,-0.030704923,-0.02072628,-0.088808737,-0.020787083,0.087599356,-0.212060601,-0.08144204,0.13201552,-0.119753203,-0.150534756,-0.119649773,0.142699805,-0.087373501
debt,-0.088245157,1,0.368713344,0.794680316,0.26132959,0.293095704,0.350016213,-0.255645248,0.121581288,0.127118476,0.242780517,0.19625262,-0.400008741,-0.452695658,-0.440506658,-0.437595672,0.245517183,0.246843033,0.527217265,0.890060238,0.840401232,0.783948442,0.502383843,0.780800206,0.260902299,0.007933827,0.437471403,-0.527217265,0.320860043,0.408555692,0.373802983,-0.317339584,0.577298648
per_cap_debt,-0.073324358,0.368713344,1,-0.082327717,0.386451426,0.44952411,0.112621585,0.244584521,0.22224845,0.063050362,0.257631481,0.161841667,-0.525515401,-0.573724507,-0.594267659,-0.61565877,-0.235208403,-0.358691827,0.183480914,0.277435153,0.260942561,0.387489454,0.064507644,0.39666014,0.553938745,-0.302309027,0.553892612,-0.183480914,-0.192958513,0.087883903,-0.018230942,0.381927825,0.672290522
state_pop,-0.095744192,0.794680316,-0.082327717,1,-0.008763206,0.015813602,0.213522971,-0.316499587,0.038478037,0.139858154,0.245963073,0.24487211,-0.105835862,-0.131084481,-0.129865907,-0.107045845,0.421526577,0.430642281,0.454512558,0.679145368,0.635490355,0.445475816,0.538793014,0.43825747,-0.051109502,0.314330685,0.14076432,-0.454512558,0.43475984,0.39346414,0.411701878,-0.467148377,0.160182947
advisory_dur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
order_dur,0.204043776,0.26132959,0.386451426,-0.008763206,1,0.736074041,0.255668085,-0.005237266,0.367538405,,-0.284775508,,-0.534532166,-0.54815863,-0.534983583,-0.526993326,-0.040998577,-0.151720496,0.229406739,0.192562375,0.182255222,0.260819162,0.161248831,0.261036194,0.143336856,-0.252949717,0.410875828,-0.229406739,0.000820129,0.073485111,0.000820129,0.12054279,0.332378865
biz_dur,0.015208063,0.293095704,0.44952411,0.015813602,0.736074041,1,0.432343545,-0.153910547,0.283837905,0.134543944,0.006857915,0.124532205,-0.565352761,-0.594161124,-0.504802562,-0.545086129,0.009056494,-0.032711351,0.281531218,0.238054897,0.223266944,0.310642164,0.334169438,0.308118573,0.241715559,-0.29344139,0.438761264,-0.281531218,-0.00299915,0.022200633,0.021670046,0.029022482,0.4133726
gathering_ban,-0.091521642,0.350016213,0.112621585,0.213522971,0.255668085,0.432343545,1,-0.29945018,-0.07130008,0.246354109,0.09656091,0.26070564,-0.381523463,-0.402270775,-0.32775156,-0.356205526,0.139486206,0.124915114,0.099477067,0.301041466,0.287596963,0.296815941,0.218512291,0.289511813,0.032176257,-0.083029846,0.224017902,-0.099477067,-0.143022547,-0.061624727,-0.149067643,-0.186650856,0.244080191
out_of_state_travel_restricted,0.039200515,-0.255645248,0.244584521,-0.316499587,-0.005237266,-0.153910547,-0.29945018,1,0.078269481,0.12726334,0.042459181,-0.004480188,0.027794532,-0.012717475,-0.061527653,-0.076060408,-0.096303034,-0.070211108,-0.168927819,-0.328510925,-0.328571005,-0.251890927,-0.457067917,-0.244796696,0.041457274,-0.243108665,-0.042553752,0.168927819,-0.257211063,-0.135012329,-0.18792254,0.527703813,-0.129681164
schools_closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
