state,fips_code,debt,per_cap_debt,state_pop,soe_declared,advisory_enacted,advisory_lifted,order_enacted,order_relaxed,biz_restriction_enacted,biz_restriction_relaxed,first_case,advisory_dur,order_dur,biz_dur,gathering_ban,out_of_state_travel_restricted,schools_closed,daycares_closed,bars_and_restaurants_closed,oth-non_essential_closed,shelter_score,avg_sen_maj_ideology,avg_hou_maj_ideology,avg_sen_ideology,avg_hou_ideology,avg_sen_polarz,avg_hou_polarz,days_since_first_case,tot_cases,cases_per-day,tot_deaths,days_since_first-death,deaths_per_day,test_per_100k,avg_temp_mar_to_may,mortality_rate,state_outbeak_lag,advisory_lag,order_lag,biz_restrict_lag,ord_or_adv_lag,per_cap_mort_rate,tot_death_per_cap
Alabama,1,8772871,1787,4908621,2020-03-13,2020-04-04,2020-04-30,2020-04-04,2020-04-30,2020-03-28,2020-04-30,2020-03-13,26.0,26.0,33.0,0.5,0.0,1,1.0,1.0,1.0,1.0,1.0942,0.8934000000000001,1.0336,0.7992,1.7916,1.3625999999999998,98,29002.0,295.94,822,86,9.56,6599,64.18,0.0283,51,22.0,22.0,15.0,22.0,5.765366688526166e-09,0.00016746047413316285
Alaska,2,5921713,8068,734002,2020-03-11,,,2020-03-28,2020-04-24,2020-03-18,2020-05-08,2020-03-13,,27.0,51.0,0.5,1.0,1,1.0,1.0,1.0,1.0,0.5446,0.8034000000000001,0.48460000000000003,0.5924,1.5292,1.3068,98,720.0,7.35,12,86,0.14,11009,30.28,0.0167,51,,15.0,5.0,15.0,2.2751981602229965e-08,1.6348729295015546e-05
Arizona,4,14291349,1937,7378494,2020-03-11,,,2020-03-31,2020-05-15,2020-03-20,2020-04-29,2020-01-26,,45.0,40.0,0.0,0.5,1,1.0,1.0,1.0,1.0,1.021,1.21925,0.70075,0.78075,2.4745,2.69475,145,46910.0,323.52,1321,90,14.68,5295,62.24,0.0282,4,,65.0,54.0,65.0,3.821918131260932e-09,0.0001790338245175777
Arkansas,5,4801939,1580,3038999,2020-03-11,,,,,,,2020-03-13,,,,0.5,0.0,1,1.0,1.0,0.5,0.0,0.8161999999999999,0.9390000000000001,0.7687999999999999,0.7356,0.7712,1.0004,98,14631.0,149.3,214,87,2.46,7580,60.59,0.0146,51,,,,,4.8042134926665e-09,7.041792379661856e-05
California,6,152772292,3825,39937489,2020-03-04,,,2020-03-19,2020-05-12,2020-03-19,2020-05-04,2020-01-26,,54.0,46.0,1.0,0.0,1,1.0,1.0,1.0,1.0,-1.5989999999999998,-1.6618000000000002,-1.4034,-1.2269999999999999,3.0038,3.1482,145,170862.0,1178.36,5426,107,50.71,7772,54.33,0.0318,4,,53.0,53.0,53.0,7.962443507652673e-10,0.0001358623222406396
Colorado,8,16980689,2905,5845526,2020-03-10,2020-03-26,2020-04-26,2020-03-26,2020-04-26,2020-03-26,2020-05-25,2020-03-05,31.0,31.0,60.0,0.5,0.0,1,0.5,1.0,1.0,1.0,-1.1804000000000001,-1.1708,-0.45120000000000005,-0.766,2.9154000000000004,3.4536000000000002,106,30172.0,284.64,1643,99,16.6,4604,45.82,0.0545,43,21.0,21.0,21.0,21.0,9.323369701888247e-09,0.0002810696590862824
Connecticut,9,38756156,10877,3563077,2020-03-10,,,2020-03-23,2020-05-20,2020-03-20,2020-05-20,2020-03-10,,58.0,61.0,1.0,0.5,1,1.0,1.0,1.0,1.0,-1.2338,-1.152,-1.0304,-0.9908000000000001,1.3864,1.2231999999999998,101,45557.0,451.06,4238,93,45.57,10429,47.37,0.09300000000000001,48,,13.0,10.0,13.0,2.6101035705936192e-08,0.001189421390556533
Delaware,10,4561576,4641,982895,2020-03-12,,,2020-03-24,2020-05-31,2020-03-22,2020-05-08,2020-03-11,,68.0,47.0,1.0,1.0,1,1.0,1.0,1.0,1.0,-0.5471999999999999,-0.8768,-0.4596,-0.7658,0.9339999999999999,1.2784,100,10611.0,106.11,433,85,5.09,9169,53.85,0.0408,49,,13.0,11.0,13.0,4.151002904684631e-08,0.00044053535728638357
Florida,12,28823847,1311,21992985,2020-03-01,2020-04-03,2020-05-04,2020-04-03,2020-05-04,2020-03-20,2020-04-29,2020-03-02,31.0,31.0,40.0,0.5,0.5,1,1.0,1.0,1.0,1.0,0.5258,0.7336,0.36639999999999995,0.6035999999999999,1.589,1.7795999999999998,109,89748.0,823.38,3104,103,30.14,7096,74.73,0.0346,40,32.0,32.0,18.0,32.0,1.5732289182209691e-09,0.00014113591220109504
Georgia,13,13050862,1216,10736059,2020-03-14,2020-04-03,2020-04-30,2020-04-03,2020-04-30,2020-04-03,2020-04-30,2020-03-03,27.0,27.0,27.0,0.5,0.0,1,0.0,1.0,1.0,1.0,0.9446,0.9366,0.8606,0.8076000000000001,1.7561999999999998,1.7098,108,62009.0,574.16,2636,99,26.63,6305,64.4,0.0425,41,31.0,31.0,31.0,31.0,3.958622060478618e-09,0.0002455277117981561
