state,Date Shutdown Ordered,Date Reopened
 Alabama,4/4/2020,4/30/2020
Alaska ,3/28/2020,5/22/2020
Arizona ,3/31/2020,5/15/2020
Arkansas ,0,5/11/2020
California ,3/19/2020,5/20/2020
Colorado ,3/26/2020,5/27/2020
Connecticut,3/23/2020,5/20/2020
Delaware ,3/24/2020,5/20/2020
District of Columbia,3/30/2020,5/27/2020
Florida ,4/3/2020,5/4/2020
Georgia,4/3/2020,4/24/2020
Hawaii ,3/25/2020,5/7/2020
Idaho,3/25/2020,5/1/2020
Illinois,3/21/2020,5/29/2020
Indiana ,3/25/2020,5/1/2020
Iowa ,0,5/1/2020
Kansas ,3/30/2020,5/4/2020
Kentucky ,3/26/2020,5/11/2020
Louisiana,3/23/2020,5/15/2020
Maine ,4/2/2020,5/1/2020
Maryland ,3/30/2020,5/15/2020
Massachusetts ,3/24/2020,5/18/2020
Michigan ,3/24/2020,5/28/2020
Minnesota ,3/27/2020,5/18/2020
Mississippi ,4/3/2020,6/1/2020
Missouri Missouri,4/6/2020,5/3/2020
Montana,3/28/2020,5/26/2020
Nebraska,0,0
Nevada ,4/1/2020,5/9/2020
New Hampshire ,3/27/2020,5/31/2020
New Jersey ,3/21/2020,6/14/2020
New Mexico ,3/24/2020,5/31/2020
New York ,3/22/2020,5/15/2020
North Carolina ,3/30/2020,5/8/2020
North Dakota ,1/0/1900,5/1/2020
Ohio,3/23/2020,5/29/2020
Oklahoma,4/2/2020,4/24/2020
Oregon ,3/23/2020,5/15/2020
Pennsylvania ,4/1/2020,5/8/2020
Rhode Island ,3/28/2020,5/8/2020
South Carolina ,4/7/2020,5/11/2020
South Dakota,0,0
Tennessee ,4/2/2020,5/30/2020
Texas ,4/2/2020,5/1/2020
Utah ,0,5/1/2020
Vermont ,3/25/2020,5/15/2020
Virginia ,3/30/2020,5/14/2020
Washington,3/23/2020,5/31/2020
West Virginia ,3/23/2020,5/4/2020
Wisconsin ,3/25/2020,5/13/2020
Wyoming ,0,5/15/2020
